"고유번호","환승시작역","환승시작 코드","환승시작 호선","하차 열차 방면","하차위치(호차)","하차위치(문)","환승종료역","환승종료역 코드","환승종료 호선","환승 열차 방면","환승 승차위치(호차)","환승 승차위치(문)","소요시간"
1,서울역,"0150","1",시청 방면,"1","1",서울역,"4201",공항철도,공덕 방면,"3","2","10:00"
2,서울역,"0150","1",남영 방면,"1","2",서울역,"0426","4",숙대입구 방면,"3","3","03:34"
3,서울역,"0150","1",남영 방면,"10","4",서울역,"4201",공항철도,공덕 방면,"3","2","10:00"
4,서울역,"0150","1",시청 방면,"10","4",서울역,"0426","4",회현 방면,"3","3","03:34"
5,서울역,"0150","1",시청 방면,"10","4",서울역,"0426","4",숙대입구 방면,"3","3","03:34"
6,서울역,"0150","1",남영 방면,"1","2",서울역,"0426","4",회현 방면,"3","3","03:34"
7,시청,"0151","1",서울역 방면,"1","1",시청,"0201","2",충정로 방면,"1","1","03:32"
8,시청,"0151","1",서울역 방면,"1","1",시청,"0201","2",을지로입구 방면,"1","1","03:32"
9,시청,"0151","1",종각 방면,"10","4",시청,"0201","2",을지로입구 방면,"1","1","03:32"
10,시청,"0151","1",종각 방면,"10","4",시청,"0201","2",충정로 방면,"1","1","03:32"
11,종로3가,"0153","1",종로5가 방면,"6","1",종로3가,"0319","3",을지로3가 방면,"10","4","02:41"
12,종로3가,"0153","1",종각 방면,"5","4",종로3가,"0319","3",안국 방면,"10","4","02:41"
13,종로3가,"0153","1",종각 방면,"7","3",종로3가,"2535","5",광화문 방면,"1","1","05:26"
14,종로3가,"0153","1",종로5가 방면,"6","1",종로3가,"0319","3",안국 방면,"10","4","02:41"
15,종로3가,"0153","1",종각 방면,"5","4",종로3가,"0319","3",을지로3가 방면,"10","4","02:41"
16,종로3가,"0153","1",종로5가 방면,"6","1",종로3가,"2535","5",광화문 방면,"1","1","05:26"
17,종로3가,"0153","1",종각 방면,"7","3",종로3가,"2535","5",을지로4가 방면,"1","1","05:26"
18,종로3가,"0153","1",종로5가 방면,"6","1",종로3가,"2535","5",을지로4가 방면,"1","1","05:26"
19,동대문,"0155","1",종로5가 방면,"1","4",동대문,"0421","4",동대문역사문화공원 방면,"3","3","04:23"
20,동대문,"0155","1",종로5가 방면,"1","4",동대문,"0421","4",혜화 방면,"3","3","04:23"
21,동대문,"0155","1",신설동 방면,"9","3",동대문,"0421","4",혜화 방면,"3","3","04:23"
22,동대문,"0155","1",신설동 방면,"9","3",동대문,"0421","4",동대문역사문화공원 방면,"3","3","04:23"
23,신설동,"0156","1",동묘앞 방면,"2","1",신설동,"4713",우이신설경전철,보문 방면,"2","1","03:07"
24,신설동,"0156","1",제기동 방면,"9","4",신설동,"0246","2",용두 방면,"1","1","03:07"
25,신설동,"0156","1",제기동 방면,"9","4",신설동,"4713",우이신설경전철,보문 방면,"2","1","03:07"
26,신설동,"0156","1",동묘앞 방면,"2","1",신설동,"0246","2",용두 방면,"1","1","03:07"
27,청량리,"0158","1",제기동 방면,"10","4",청량리,"1014",경의선,왕십리 방면,"1","1","03:00"
28,청량리,"0158","1",회기 방면,"1","1",청량리,"1014",경의선,회기 방면,"1","1","03:00"
29,청량리,"0158","1",회기 방면,"1","1",청량리,"1014",경의선,왕십리 방면,"1","1","03:00"
30,청량리,"0158","1",제기동 방면,"10","4",청량리,"1014",경의선,회기 방면,"1","1","03:00"
31,동묘앞,"0159","1",신설동 방면,"9","2",동묘앞,"2637","6",신당 방면,"2","2","03:00"
32,동묘앞,"0159","1",동대문 방면,"7","1",동묘앞,"2637","6",창신 방면,"2","2","03:00"
33,동묘앞,"0159","1",동대문 방면,"7","1",동묘앞,"2637","6",신당 방면,"2","2","03:00"
34,동묘앞,"0159","1",신설동 방면,"9","2",동묘앞,"2637","6",창신 방면,"2","2","03:00"
35,까치산,"0200","2",신정 방면,"1","1",까치산,"2519","5",신정 방면,"1","1","01:37"
36,까치산,"0200","2",화곡 방면,"1","1",까치산,"2519","5",화곡 방면,"1","1","01:37"
37,시청,"0201","2",을지로입구 방면,"10","4",시청,"0151","1",종각 방면,"10","4","03:32"
38,시청,"0201","2",충정로 방면,"1","1",시청,"0151","1",서울역 방면,"10","4","03:32"
39,시청,"0201","2",충정로 방면,"1","1",시청,"0151","1",종각 방면,"10","4","03:32"
40,시청,"0201","2",을지로입구 방면,"10","4",시청,"0151","1",서울역 방면,"10","4","03:32"
41,을지로3가,"0203","2",을지로4가 방면,"1","1",을지로3가,"0320","3",충무로 방면,"4","2","03:40"
42,을지로3가,"0203","2",을지로4가 방면,"1","1",을지로3가,"0320","3",종로3가 방면,"4","2","03:40"
43,을지로3가,"0203","2",을지로입구 방면,"10","4",을지로3가,"0320","3",충무로 방면,"4","2","03:40"
44,을지로3가,"0203","2",을지로입구 방면,"10","4",을지로3가,"0320","3",종로3가 방면,"4","2","03:40"
45,을지로4가,"0204","2",을지로3가 방면,"7","2",을지로4가,"2536","5",종로3가 방면,"2","1","02:59"
46,을지로4가,"0204","2",을지로3가 방면,"7","2",을지로4가,"2536","5",동대문역사문화공원 방면,"2","1","02:59"
47,을지로4가,"0204","2",동대문역사문화공원 방면,"4","3",을지로4가,"2536","5",동대문역사문화공원 방면,"2","1","02:59"
48,을지로4가,"0204","2",동대문역사문화공원 방면,"4","3",을지로4가,"2536","5",종로3가 방면,"2","1","02:59"
49,동대문역사문화공원,"0205","2",신당 방면,"8","1",동대문역사문화공원,"2537","5",을지로4가 방면,"1","1","02:24"
50,동대문역사문화공원,"0205","2",신당 방면,"8","1",동대문역사문화공원,"2537","5",청구 방면,"1","1","02:24"
51,동대문역사문화공원,"0205","2",을지로4가 방면,"2","4",동대문역사문화공원,"0422","4",충무로 방면,"10","4","02:20"
52,동대문역사문화공원,"0205","2",을지로4가 방면,"2","4",동대문역사문화공원,"0422","4",동대문 방면,"10","4","02:20"
53,동대문역사문화공원,"0205","2",을지로4가 방면,"3","4",동대문역사문화공원,"2537","5",청구 방면,"1","1","02:24"
54,동대문역사문화공원,"0205","2",을지로4가 방면,"3","4",동대문역사문화공원,"2537","5",을지로4가 방면,"1","1","02:24"
55,동대문역사문화공원,"0205","2",신당 방면,"9","2",동대문역사문화공원,"0422","4",충무로 방면,"10","4","02:20"
56,동대문역사문화공원,"0205","2",신당 방면,"9","2",동대문역사문화공원,"0422","4",동대문 방면,"10","4","02:20"
57,신당,"0206","2",동대문역사문화공원 방면,"1","1",신당,"2636","6",청구 방면,"8","4","04:01"
58,신당,"0206","2",상왕십리 방면,"10","4",신당,"2636","6",청구 방면,"8","4","04:01"
59,신당,"0206","2",동대문역사문화공원 방면,"1","1",신당,"2636","6",동묘앞 방면,"8","4","04:01"
60,신당,"0206","2",상왕십리 방면,"10","4",신당,"2636","6",동묘앞 방면,"8","4","04:01"
61,왕십리,"0208","2",상왕십리 방면,"8","4",왕십리,"102C",수인분당선,서울숲 방면,"3","4","07:00"
62,왕십리,"0208","2",상왕십리 방면,"5","4",왕십리,"2541","5",마장 방면,"5","2","03:44"
63,왕십리,"0208","2",한양대 방면,"6","1",왕십리,"2541","5",마장 방면,"5","2","03:44"
64,왕십리,"0208","2",상왕십리 방면,"5","4",왕십리,"2541","5",행당 방면,"5","2","03:44"
65,왕십리,"0208","2",한양대 방면,"3","1",왕십리,"102C",수인분당선,서울숲 방면,"3","4","07:00"
66,왕십리,"0208","2",한양대 방면,"6","1",왕십리,"2541","5",행당 방면,"5","2","03:44"
67,왕십리,"0208","2",상왕십리 방면,"3","1",왕십리,"1013",경의선,응봉 방면,"4","2","02:49"
68,왕십리,"0208","2",한양대 방면,"8","4",왕십리,"1013",경의선,청량리 방면,"4","2","02:49"
69,왕십리,"0208","2",한양대 방면,"8","4",왕십리,"1013",경의선,응봉 방면,"4","2","02:49"
70,왕십리,"0208","2",상왕십리 방면,"8","4",왕십리,"1013",경의선,청량리 방면,"4","2","02:49"
71,성수,"0211","2",뚝섬 방면,"3","1",성수,"0211","2",용답 방면,모든 호차,모든 문,"00:38"
72,성수,"0211","2",건대입구 방면,"10","4",성수,"0211","2",용답 방면,모든 호차,모든 문,"00:38"
882,성수,"0211","2",뚝섬 방면,모든 호차,모든 문,성수,"0211","2",뚝섬 방면,"10","4","00:38"
883,성수,"0211","2",건대입구 방면,"4","4",성수,"0211","2",건대입구 방면,"10","4","00:38"
73,건대입구,"0212","2",구의 방면,"3","2",건대입구,"2729","7",자양 방면,"8","4","02:32"
74,건대입구,"0212","2",구의 방면,"3","2",건대입구,"2729","7",어린이대공원 방면,"8","4","02:32"
75,건대입구,"0212","2",성수 방면,"8","3",건대입구,"2729","7",어린이대공원 방면,"8","4","02:32"
76,건대입구,"0212","2",성수 방면,"8","3",건대입구,"2729","7",자양 방면,"8","4","02:32"
77,잠실,"0216","2",잠실나루 방면,"1","1",잠실,"2815","8",석촌 방면,"1","1","02:38"
78,잠실,"0216","2",잠실새내 방면,"10","3",잠실,"2815","8",석촌 방면,"1","1","02:38"
79,잠실,"0216","2",잠실새내 방면,"10","3",잠실,"2815","8",몽촌토성 방면,"1","1","02:38"
80,잠실,"0216","2",잠실나루 방면,"1","1",잠실,"2815","8",몽촌토성 방면,"1","1","02:38"
81,선릉,"0220","2",삼성 방면,"5","2",선릉,"1023",수인분당선,한티 방면,"2","4","05:00"
82,선릉,"0220","2",역삼 방면,"6","3",선릉,"1023",수인분당선,한티 방면,"2","4","05:00"
83,선릉,"0220","2",삼성 방면,"6","3",선릉,"1023",수인분당선,선정릉 방면,"2","4","05:00"
84,선릉,"0220","2",역삼 방면,"5","2",선릉,"1023",수인분당선,선정릉 방면,"2","4","05:00"
85,교대,"0223","2",강남 방면,"10","4",교대,"0330","3",남부터미널 방면,"7","4","02:24"
86,교대,"0223","2",강남 방면,"10","4",교대,"0330","3",고속터미널 방면,"7","4","02:24"
87,교대,"0223","2",서초 방면,"1","2",교대,"0330","3",남부터미널 방면,"7","4","02:24"
88,교대,"0223","2",서초 방면,"1","2",교대,"0330","3",고속터미널 방면,"7","4","02:24"
89,사당,"0226","2",방배 방면,"5","3",사당,"0433","4",남태령 방면,"1","1","02:16"
90,사당,"0226","2",낙성대 방면,"6","1",사당,"0433","4",총신대입구 방면,"1","1","02:16"
91,사당,"0226","2",낙성대 방면,"6","1",사당,"0433","4",남태령 방면,"1","1","02:16"
92,사당,"0226","2",방배 방면,"5","3",사당,"0433","4",총신대입구 방면,"1","1","02:16"
93,신림,"0230","2",봉천 방면,"5","3",신림,"4408",신림선,서원 방면,"1","1","03:00"
94,신림,"0230",신림선,당곡 방면,"3","2",신림,"0230","2",봉천 방면,"5","3","02:24"
95,신림,"0230",신림선,당곡 방면,"3","2",신림,"0230","2",신대방 방면,"5","3","02:24"
